Model,Setting,Coverage,Loss
F-Coref,All,0.2602860010035123,0.7397139989964877
F-Coref,Salient,0.5228571428571429,0.4771428571428571
Stanza,All,0.3389362769693929,0.6610637230306071
Stanza,Salient,0.68,0.31999999999999995
